nome,cpf,idade,data,endereco,bairro,estado
Isaac Costela,192.***.***-52,38.0,1986-05-26,endereço invalido,desconhecido,desconhecido
Dra. Nina Da Luz,218.***.***-76,25.0,1998-12-13,endereço invalido,desconhecido,desconhecido
Luara Vargas,175.***.***-77,53.0,1971-07-05,endereço invalido,desconhecido,desconhecido
Bento Da Paz,953.***.***-64,54.0,1970-08-06,endereço invalido,desconhecido,desconhecido
Heloísa Vargas,376.***.***-44,38.0,1986-07-30,endereço invalido,desconhecido,desconhecido
Rhavi Pereira,705.***.***-66,47.0,1977-09-25,endereço invalido,desconhecido,desconhecido
João Aparecida,956.***.***-37,19.0,2005-03-01,endereço invalido,desconhecido,desconhecido
Sr. João Gabriel Mendonça,375.***.***-00,28.0,1996-08-06,endereço invalido,desconhecido,desconhecido
Sr. Mathias Campos,051.***.***-00,34.0,1990-10-02,endereço invalido,desconhecido,desconhecido
Camila Lopes,160.***.***-43,27.0,1997-01-17,endereço invalido,desconhecido,desconhecido
Sra. Beatriz Fogaça,640.***.***-70,46.0,1978-01-17,endereço invalido,desconhecido,desconhecido
Nicole Pinto,785.***.***-40,20.0,2003-10-12,endereço invalido,desconhecido,desconhecido
Sr. Otávio Albuquerque,364.***.***-65,58.0,1966-09-06,endereço invalido,desconhecido,desconhecido
Isabelly Da Paz,650.***.***-52,35.0,1989-09-08,endereço invalido,desconhecido,desconhecido
Vitor Hugo Monteiro,701.***.***-71,20.0,2004-07-26,endereço invalido,desconhecido,desconhecido
Mathias Carvalho,743.***.***-14,33.0,1991-03-13,endereço invalido,desconhecido,desconhecido
Cauã Silva,190.***.***-03,48.0,1976-01-30,endereço invalido,desconhecido,desconhecido
Pedro Lucas Da Cunha,387.***.***-79,45.0,1979-07-05,endereço invalido,desconhecido,desconhecido
Juan Pires,725.***.***-80,52.0,1971-10-27,endereço invalido,desconhecido,desconhecido
Maria Isis Barros,594.***.***-80,56.0,1968-08-14,endereço invalido,desconhecido,desconhecido
Yasmin Pires,271.***.***-19,51.0,1972-12-29,endereço invalido,desconhecido,desconhecido
Bento Borges,571.***.***-12,42.0,1982-08-24,endereço invalido,desconhecido,desconhecido
Valentim Das Neves,863.***.***-70,33.0,1991-04-17,endereço invalido,desconhecido,desconhecido
Maria Sophia Da Cruz,609.***.***-29,31.0,1993-04-03,endereço invalido,desconhecido,desconhecido
Bryan Santos,156.***.***-84,57.0,1966-11-27,endereço invalido,desconhecido,desconhecido
Ravy Nascimento,754.***.***-19,42.0,1982-01-05,endereço invalido,desconhecido,desconhecido
Ana Laura Das Neves,623.***.***-62,21.0,2003-09-09,endereço invalido,desconhecido,desconhecido
Daniela Garcia,817.***.***-07,25.0,1999-06-07,endereço invalido,desconhecido,desconhecido
Davi Lucca Vieira,743.***.***-70,58.0,1965-10-21,endereço invalido,desconhecido,desconhecido
Eduarda Cardoso,076.***.***-78,21.0,2003-01-25,endereço invalido,desconhecido,desconhecido
Valentina Melo,208.***.***-97,36.0,1988-09-21,endereço invalido,desconhecido,desconhecido
Ana Carolina Pires,569.***.***-34,25.0,1999-03-11,endereço invalido,desconhecido,desconhecido
Arthur Viana,951.***.***-73,34.0,1990-01-27,endereço invalido,desconhecido,desconhecido
Carolina Casa Grande,209.***.***-00,38.0,1986-10-01,endereço invalido,desconhecido,desconhecido
Caio Fonseca,708.***.***-22,29.0,1995-05-26,endereço invalido,desconhecido,desconhecido
Allana Rocha,702.***.***-07,23.0,2000-10-27,endereço invalido,desconhecido,desconhecido
Isabella Camargo,458.***.***-29,41.0,1983-08-31,endereço invalido,desconhecido,desconhecido
Gabriela Moura,356.***.***-33,20.0,2004-03-31,endereço invalido,desconhecido,desconhecido
José Miguel Casa Grande,093.***.***-60,31.0,1993-05-04,endereço invalido,desconhecido,desconhecido
Sr. Joaquim Cardoso,985.***.***-33,35.0,1988-11-06,endereço invalido,desconhecido,desconhecido
Fernando Rios,023.***.***-07,43.0,1981-02-05,endereço invalido,desconhecido,desconhecido
Sra. Bianca Castro,685.***.***-07,56.0,1968-09-22,endereço invalido,desconhecido,desconhecido
Matheus Aragão,016.***.***-43,53.0,1971-08-11,endereço invalido,desconhecido,desconhecido
Bruna Siqueira,357.***.***-47,30.0,1994-04-01,endereço invalido,desconhecido,desconhecido
Letícia Cardoso,480.***.***-84,56.0,1968-08-08,endereço invalido,desconhecido,desconhecido
Nina Rios,571.***.***-09,46.0,1978-03-17,endereço invalido,desconhecido,desconhecido
Matheus Moreira,152.***.***-97,58.0,1966-10-02,endereço invalido,desconhecido,desconhecido
Felipe Rios,078.***.***-76,32.0,1992-10-05,endereço invalido,desconhecido,desconhecido
Luiz Felipe Borges,574.***.***-93,57.0,1966-11-24,endereço invalido,desconhecido,desconhecido
Maria Flor Santos,857.***.***-00,58.0,1966-10-03,endereço invalido,desconhecido,desconhecido
Samuel Porto,210.***.***-49,52.0,1971-12-16,endereço invalido,desconhecido,desconhecido
