,nome,cpf,idade,data,endereco,estado
1,Isaac Costela,192.437.056-52,38,1986-05-26,"vila campos, 17
vila antena montanhês
03829-329 cirino alegre / go",RIO GRANDE DO NORTE
2,Dra. Nina Da Luz,218.675.904-76,25,1998-12-13,"campo de cassiano
conjunto lagoa
43003-217 pires / sp",RIO GRANDE DO NORTE
3,Luara Vargas,175.862.903-77,110,1971-07-05,"favela ribeiro, 52
vila engenho nogueira
79833-833 oliveira do oeste / ac",PIAUÍ
5,Bento Da Paz,953.847.261-64,54,1970-08-06,"largo miguel almeida
vila puc
18734-705 melo de goiás / pr",RORAIMA
6,Heloísa Vargas,376.415.820-44,38,1986-07-30,"praça de caldeira
vila real 1ª seção
42380-870 da cruz da serra / sp",AMAZONAS
7,Rhavi Pereira,705.184.639-66,46,1977-09-25,"ladeira de ribeiro, 98
vila nova gameleira 1ª seção
89448034 moraes das pedras / rj",SÃO PAULO
8,João Aparecida,956.741.823-37,19,2005-03-01,"travessa de jesus, 9
são cristóvão
27824000 vieira / al",GOIÁS
9,Sr. João Gabriel Mendonça,375.928.641-00,28,1996-08-06,"favela ravi da conceição, 550
vale do jatoba
58273091 montenegro / am",RONDÔNIA
10,Sr. Mathias Campos,051.746.389-00,33,1990-10-02,"vereda fogaça, 664
suzana
13966-293 sá da praia / pa",RONDÔNIA
11,Camila Lopes,160.572.943-43,27,1997-01-17,"feira calebe abreu, 15
mineirão
87508463 camargo de barbosa / pb",MINAS GERAIS
12,Sra. Beatriz Fogaça,640.593.712-70,46,1978-01-17,"estrada rios, 96
são sebastião
60694461 da conceição / go",GOIÁS
13,Nicole Pinto,785.201.369-40,20,2003-10-12,"travessa rocha, 41
vila cemig
73473-440 aparecida de abreu / ce",PARAÍBA
14,Sr. Otávio Albuquerque,364.829.057-65,400,1966-09-06,"quadra de vieira
vila esplanada
54643322 moura do campo / rr",SANTA CATARINA
15,Isabelly Da Paz,650.397.241-52,35,1989-09-08,"campo de macedo, 28
granja de freitas
92144201 albuquerque / sp",RIO GRANDE DO NORTE
16,Vitor Hugo Monteiro,701.638.452-71,20,2004-07-26,"alameda henrique das neves, 726
bacurau
97364257 borges / al",ESPÍRITO SANTO
17,Mathias Carvalho,743.129.850-14,333,1991-03-13,"estação caio viana, 474
ipiranga
11305-730 dias / pa",ACRE
18,Cauã Silva,190.468.372-03,48,1976-01-30,"rodovia de silva, 7
monsenhor messias
59375-986 azevedo de monteiro / ac",ESPÍRITO SANTO
19,Pedro Lucas Da Cunha,387.029.514-79,45,1979-07-05,"feira santos, 9
nova vista
53492264 pereira / pi",PARÁ
20,Juan Pires,725.930.461-80,52,1971-10-27,"quadra clarice da mata, 74
morro dos macacos
50917-945 cirino da praia / df",MATO GROSSO DO SUL
21,Maria Isis Barros,594.726.130-80,56,1968-08-14,"via de da cruz, 90
castanheira
10606821 melo dos dourados / rr",AMAPÁ
22,Yasmin Pires,271.983.564-19,51,1972-12-29,"morro de gonçalves, 1
boa união 1ª seção
19954-190 nascimento / df",AMAZONAS
23,Bento Borges,571.023.896-12,42,1982-08-24,"sítio de silva
horto
58497850 vargas / rj",RIO DE JANEIRO
24,Valentim Das Neves,863.401.529-70,33,1991-04-17,"rua de fonseca, 137
boa viagem
56448-825 albuquerque dos dourados / pi",ALAGOAS
25,Maria Sophia Da Cruz,609.735.428-29,31,1993-04-03,"passarela de pacheco, 46
vila real 1ª seção
40593-742 brito / ce",RIO DE JANEIRO
26,Bryan Santos,156.348.709-84,57,1966-11-27,"distrito de garcia
graça
53270587 rezende do campo / ms",RIO GRANDE DO SUL
27,Ravy Nascimento,754.263.981-19,42,1982-01-05,"pátio augusto da cruz, 249
são paulo
48438-139 mendonça verde / mg",SÃO PAULO
28,Ana Laura Das Neves,623.841.705-62,21,2003-09-09,"morro de azevedo
buraco quente
76180-685 sá do amparo / ma",AMAZONAS
29,Daniela Garcia,817.365.204-07,2550,1999-06-07,"travessa cirino, 835
vila são rafael
91011-414 nogueira dos dourados / es",RIO GRANDE DO NORTE
30,Davi Lucca Vieira,743.065.921-70,580,1965-10-21,"avenida pacheco, 81
santa rita
98836013 sales grande / sc",AMAPÁ
31,Eduarda Cardoso,076.982.413-78,211,2003-01-25,"vereda martins, 4
barroca
97520511 fernandes alegre / sp",GOIÁS
32,Valentina Melo,208.193.754-97,354,1988-09-21,"sítio ana carolina pastor, 14
vila do pombal
41379-382 fogaça / pr",MATO GROSSO
33,Ana Carolina Pires,569.231.470-34,25,1999-03-11,"trecho da costa, 78
nova granada
93201-061 mendonça de albuquerque / pi",RIO GRANDE DO SUL
34,Arthur Viana,951.673.842-73,34,1990-01-27,"rua bruno vargas, 41
jardinópolis
17705212 lima / pb",TOCANTINS
35,Carolina Casa Grande,209.376.458-00,37,1986-10-01,"praça peixoto
pindorama
16674390 ramos da mata / pa",ESPÍRITO SANTO
36,Caio Fonseca,708.362.194-22,29,1995-05-26,"loteamento maria luiza cardoso, 63
parque são pedro
72554-613 martins do amparo / ms",MINAS GERAIS
37,Allana Rocha,702.169.354-07,23,2000-10-27,"trevo almeida, 6
maria virgínia
40481957 marques / se",RIO GRANDE DO NORTE
38,Isabella Camargo,458.932.076-29,415,1983-08-31,"praça de azevedo, 8
vila tirol
67527-694 ferreira / es",RIO DE JANEIRO
39,Gabriela Moura,356.298.410-33,20,2004-03-31,"via de marques, 58
palmeiras
05136-274 machado / ba",RIO GRANDE DO NORTE
40,José Miguel Casa Grande,093.182.546-60,31,1993-05-04,"travessa de siqueira, 628
nova granada
26025-096 vieira dos dourados / rs",PARANÁ
41,Sr. Joaquim Cardoso,985.162.034-33,35,1988-11-06,"núcleo brito, 13
conjunto bonsucesso
53558132 da paz de pacheco / ba",ACRE
42,Fernando Rios,023.476.158-07,43,1981-02-05,"residencial lopes, 780
vila cloris
72759-178 vargas / al",PERNAMBUCO
43,Sra. Bianca Castro,685.341.702-07,55,1968-09-22,"lagoa benício cavalcante, 43
tupi b
32518159 da luz de almeida / rr",PERNAMBUCO
44,Matheus Aragão,016.257.394-43,53,1971-08-11,"loteamento rezende
castanheira
76144-852 andrade / mt",PARÁ
45,Bruna Siqueira,357.940.268-47,30,1994-04-01,"loteamento de peixoto, 92
vila real 2ª seção
45096-058 da mata de araújo / am",MARANHÃO
46,Letícia Cardoso,480.657.193-84,56,1968-08-08,"vereda de ribeiro, 96
santa helena
13738-831 cassiano / am",SÃO PAULO
47,Nina Rios,571.623.948-09,460,1978-03-17,"loteamento ryan da mota, 8
pilar
89057-967 cardoso / sc",PIAUÍ
48,Matheus Moreira,152.834.709-97,579,1966-10-02,"sítio almeida, 9
conjunto lagoa
15849270 montenegro / al",GOIÁS
49,Felipe Rios,078.596.241-76,31,1992-10-05,"área de vargas, 573
alpes
10825-588 cardoso / rj",ALAGOAS
