Unnamed: 0,nome,cpf,idade,data,endereco,estado
1,Isaac Costela,192.437.056-52,38,1986-05-26,endereço invalido,RIO GRANDE DO NORTE
2,Dra. Nina Da Luz,218.675.904-76,25,1998-12-13,endereço invalido,RIO GRANDE DO NORTE
3,Luara Vargas,175.862.903-77,110,1971-07-05,endereço invalido,PIAUÍ
5,Bento Da Paz,953.847.261-64,54,1970-08-06,endereço invalido,RORAIMA
6,Heloísa Vargas,376.415.820-44,38,1986-07-30,endereço invalido,AMAZONAS
7,Rhavi Pereira,705.184.639-66,46,1977-09-25,endereço invalido,SÃO PAULO
8,João Aparecida,956.741.823-37,19,2005-03-01,endereço invalido,GOIÁS
9,Sr. João Gabriel Mendonça,375.928.641-00,28,1996-08-06,endereço invalido,RONDÔNIA
10,Sr. Mathias Campos,051.746.389-00,33,1990-10-02,endereço invalido,RONDÔNIA
11,Camila Lopes,160.572.943-43,27,1997-01-17,endereço invalido,MINAS GERAIS
12,Sra. Beatriz Fogaça,640.593.712-70,46,1978-01-17,endereço invalido,GOIÁS
13,Nicole Pinto,785.201.369-40,20,2003-10-12,endereço invalido,PARAÍBA
14,Sr. Otávio Albuquerque,364.829.057-65,400,1966-09-06,endereço invalido,SANTA CATARINA
15,Isabelly Da Paz,650.397.241-52,35,1989-09-08,endereço invalido,RIO GRANDE DO NORTE
16,Vitor Hugo Monteiro,701.638.452-71,20,2004-07-26,endereço invalido,ESPÍRITO SANTO
17,Mathias Carvalho,743.129.850-14,333,1991-03-13,endereço invalido,ACRE
18,Cauã Silva,190.468.372-03,48,1976-01-30,endereço invalido,ESPÍRITO SANTO
19,Pedro Lucas Da Cunha,387.029.514-79,45,1979-07-05,endereço invalido,PARÁ
20,Juan Pires,725.930.461-80,52,1971-10-27,endereço invalido,MATO GROSSO DO SUL
21,Maria Isis Barros,594.726.130-80,56,1968-08-14,endereço invalido,AMAPÁ
22,Yasmin Pires,271.983.564-19,51,1972-12-29,endereço invalido,AMAZONAS
23,Bento Borges,571.023.896-12,42,1982-08-24,endereço invalido,RIO DE JANEIRO
24,Valentim Das Neves,863.401.529-70,33,1991-04-17,endereço invalido,ALAGOAS
25,Maria Sophia Da Cruz,609.735.428-29,31,1993-04-03,endereço invalido,RIO DE JANEIRO
26,Bryan Santos,156.348.709-84,57,1966-11-27,endereço invalido,RIO GRANDE DO SUL
27,Ravy Nascimento,754.263.981-19,42,1982-01-05,endereço invalido,SÃO PAULO
28,Ana Laura Das Neves,623.841.705-62,21,2003-09-09,endereço invalido,AMAZONAS
29,Daniela Garcia,817.365.204-07,2550,1999-06-07,endereço invalido,RIO GRANDE DO NORTE
30,Davi Lucca Vieira,743.065.921-70,580,1965-10-21,endereço invalido,AMAPÁ
